"id","env","rating","yield","flower_start","flower_end","flower_average","strch_start","strch_end","growth"
"131","1","8.0","6","0","0","0","0","0","0"
"132","1","9.0","8","0","0","0","0","0","0"
"133","0","7.0","7.5","60","65","63","35","70","100"
"134","0","10.0","7","51","57","54","46","74","61"
"135","0","0.0","0","50","70","60","0","0","0"
"136","0","10.0","0","0","0","0","45","80","78"
"137","0","10.0","8","64","70","67","20","100","400"
"138","0","9.0","9","65","65","65","0","0","0"
"139","1","9.0","7","0","0","0","0","0","0"
"140","0","9.0","8","75","75","75","60","120","100"
"141","1","3.0","4","0","0","0","0","0","0"
"142","0","6.0","6","0","0","0","35","200","471"
"143","0","10.0","8","72","82","77","0","0","0"
"144","1","8.0","8","0","0","0","0","0","0"
"145","0","8.0","6","58","68","63","0","0","0"
"146","0","7.0","3","80","100","90","0","0","0"
"147","0","7.0","6.29","55","64","59","39","88","126"
"148","1","7.0","6","0","0","0","0","0","0"
"149","0","7.0","0","65","75","70","0","0","0"
"150","0","9.0","9","63","73","68","40","100","150"
"151","0","3.1","2.89","58","64","61","38","100","163"
"152","1","0.0","1","0","0","0","0","0","0"
"153","0","7.0","7","60","70","65","16","27","69"
"154","0","0.0","6","50","52","51","20","43","115"
"155","0","9.0","7","57","64","60","25","65","160"
"156","1","7.67","7.33","0","0","0","0","0","0"
"157","0","9.0","7","70","84","77","10","50","400"
"158","0","7.5","6.5","58","62","60","58","130","124"
"159","0","0.0","6","0","0","0","20","35","75"
"160","1","0.0","6","0","0","0","0","0","0"
"161","0","9.0","7","60","70","65","50","120","140"
"162","0","7.91","8.09","56","77","66","35","92","163"
"163","1","10.0","10","0","0","0","0","0","0"
"164","0","8.0","5","60","64","62","0","0","0"
"165","0","9.5","8","62","66","64","15","60","300"
"166","1","9.0","8","0","0","0","0","0","0"
"167","0","7.0","7","70","84","77","100","200","100"
"168","0","9.0","9.5","55","61","58","25","100","300"
"169","0","8.0","7","52","52","52","25","60","140"
"170","0","9.0","8.5","61","75","68","60","160","167"
"171","0","7.0","7","65","79","72","0","0","0"
"172","0","7.0","6","65","65","65","40","80","100"
"173","1","9.0","9","0","0","0","0","0","0"
"174","0","10.0","5","55","55","55","0","0","0"
"175","1","9.0","8","0","0","0","0","0","0"
"176","0","9.0","5","52","62","57","25","60","140"
"177","1","6.0","3","0","0","0","0","0","0"
"178","0","0.0","2","155","177","166","0","0","0"
"179","1","4.0","0","0","0","0","0","0","0"
"180","0","7.0","8","60","80","70","0","0","0"
"181","0","8.86","7.14","58","65","61","30","83","177"
"182","0","10.0","8","62","64","63","30","150","400"
"183","0","9.67","6.8","86","97","92","33","168","409"
"184","0","7.0","0","60","70","65","35","60","71"
"185","0","9.0","8.4","74","78","76","40","136","240"
"186","1","8.0","7.5","0","0","0","0","0","0"
"187","0","9.0","9","66","70","68","40","80","100"
"188","0","7.0","4","63","71","67","0","0","0"
"189","0","7.8","5.4","63","67","65","24","50","108"
"190","0","7.0","7","56","64","60","15","40","167"
"191","0","9.0","7","70","80","75","25","75","200"
"192","0","5.0","4","50","70","60","0","0","0"
"193","0","8.75","6.5","71","89","80","25","140","460"
"194","0","6.0","0","0","0","0","0","0","0"
"195","0","9.0","9","77","77","77","20","100","400"
"196","0","8.0","0","0","0","0","0","0","0"
"197","0","1.0","3","53","53","53","0","0","0"
"198","0","4.5","4","44","49","47","9","10","11"
"199","1","7.0","8","0","0","0","0","0","0"
"200","0","8.0","8","55","65","60","0","0","0"
"201","1","10.0","5","0","0","0","0","0","0"
"202","0","7.67","8.33","85","92","89","50","150","200"
"203","1","8.0","7","0","0","0","0","0","0"
"204","0","0.0","6","90","90","90","15","70","367"
"205","0","8.0","7","60","66","63","26","82","215"
"206","0","8.6","8","66","71","68","40","102","155"
"207","0","8.0","6","56","60","58","30","83","177"
"208","0","0.0","2","0","0","0","0","0","0"
"209","0","10.0","9.5","77","97","87","25","118","372"
"210","1","0.0","0","0","0","0","0","0","0"
"211","0","9.75","8.5","56","71","64","28","100","257"
"212","0","6.67","6.26","63","74","69","33","90","173"
"213","1","9.0","6","0","0","0","0","0","0"
"214","0","6.75","6.25","57","66","62","33","95","188"
"215","0","7.33","7","73","83","78","30","93","210"
"216","1","8.0","6.33","0","0","0","0","0","0"
"217","0","6.0","5","42","52","47","20","65","225"
"218","1","8.0","0","0","0","0","0","0","0"
"219","0","10.0","9.33","59","70","64","16","72","350"
"220","0","9.0","8","56","64","60","4","30","650"
"221","0","10.0","10","0","0","0","0","0","0"
"222","0","0.0","7","50","50","50","0","0","0"
"223","0","6.4","7.57","71","86","78","28","128","357"
"224","0","8.0","8","67","73","70","30","50","67"
"225","0","10.0","10","98","112","105","5","180","3500"
"226","1","10.0","6","0","0","0","0","0","0"
"227","0","9.0","9","40","70","55","0","0","0"
"228","1","9.0","0","0","0","0","0","0","0"
"229","0","10.0","0","0","0","0","0","0","0"
"230","0","0.0","7","55","55","55","15","40","167"
"231","0","0.0","2","126","126","126","0","0","0"
"232","0","6.0","6","59","71","65","23","60","161"
"233","0","9.0","5","200","200","200","35","240","586"
"234","0","0.0","7","53","67","60","50","75","50"
"235","0","8.0","8","60","80","70","15","85","467"
"236","0","7.0","4","85","105","95","40","160","300"
"237","0","7.0","4","0","0","0","35","45","29"
"238","1","6.0","7","0","0","0","0","0","0"
"239","1","0.0","5","0","0","0","0","0","0"
"240","0","4.33","5.75","62","72","67","35","110","214"
"241","0","10.0","10","65","71","68","150","105","-30"
"242","0","9.0","10","65","75","70","60","120","100"
"243","0","7.33","7","74","83","78","35","75","114"
"244","0","10.0","5","62","68","65","25","130","420"
"245","0","6.0","5","0","0","0","0","0","0"
"246","1","8.0","8","0","0","0","0","0","0"
"247","0","9.5","8.5","0","120","60","30","100","233"
"248","0","0.0","0","0","0","0","0","0","0"
"249","0","10.0","9.5","53","67","60","60","80","33"
"250","1","7.0","7","0","0","0","0","0","0"
"251","0","7.0","9","78","92","85","0","0","0"
"252","1","8.0","8","0","0","0","0","0","0"
"253","0","8.0","9","60","66","63","30","110","267"
"254","0","7.0","7","85","95","90","45","120","167"
"255","0","1.0","0","0","0","0","0","0","0"
"256","0","6.0","6","0","110","50","30","60","100"
"257","0","8.0","6","55","55","55","20","100","400"
"258","0","0.0","7","74","78","76","50","135","170"
"259","0","8.75","7","60","67","64","30","90","200"
"260","1","8.0","4","0","0","0","0","0","0"
"261","0","8.0","0","0","0","0","0","0","0"
"262","1","8.0","0","0","0","0","0","0","0"
"263","0","8.0","8.33","56","68","62","30","75","150"
"264","1","8.0","5","0","0","0","0","0","0"
"265","0","9.0","7","60","60","60","30","90","200"
"266","0","5.5","6","60","80","70","0","0","0"
"267","1","7.0","0","0","0","0","0","0","0"
"268","0","7.81","7","59","69","64","39","97","149"
"269","1","6.0","4","0","0","0","0","0","0"
"270","0","4.0","5","63","75","69","8","61","663"
"271","0","8.0","9","62","62","62","50","75","50"
"272","0","9.0","8.11","51","58","55","43","74","72"
"273","1","8.0","8","0","0","0","0","0","0"
"274","0","0.0","0","0","0","0","0","0","0"
"275","1","9.0","0","0","0","0","0","0","0"
"276","1","8.0","8","0","0","0","0","0","0"
"277","0","8.0","6","63","68","66","29","81","179"
"278","1","2.0","1","0","0","0","0","0","0"
"279","0","8.0","8","67","73","70","0","0","0"
"280","0","9.0","9","65","75","70","25","135","440"
"281","0","9.0","9","63","73","68","40","100","150"
"282","1","8.0","6","0","0","0","0","0","0"
"283","0","8.0","8","68","78","73","0","0","0"
"284","0","9.0","4","57","63","60","0","0","0"
"285","1","7.0","7","0","0","0","0","0","0"
"286","0","7.0","7","61","72","66","20","75","275"
"287","0","8.5","8","49","56","52","22","70","218"
"288","0","0.0","6.67","45","58","52","0","0","0"
"289","0","9.0","0","0","0","0","0","0","0"
"290","1","4.0","4","0","0","0","0","0","0"
"291","0","8.0","9","95","95","95","30","110","267"
"292","1","9.0","9","0","0","0","0","0","0"
"293","0","8.6","8","62","71","66","25","93","272"
"294","0","10.0","9","60","73","67","13","43","231"
"295","1","9.0","9","0","0","0","0","0","0"
"296","0","7.0","6","55","65","60","38","110","189"
"297","0","7.0","4","60","60","60","50","120","140"
"298","0","7.5","7","68","78","73","20","65","225"
"299","0","8.67","8","51","59","55","30","80","167"
"300","0","8.0","9","69","73","71","40","170","325"
"301","0","8.0","7","55","67","61","50","200","300"
"302","0","9.0","8","55","65","60","0","0","0"
"303","1","8.0","7","0","0","0","0","0","0"
"304","0","10.0","10","58","68","63","75","150","100"
"305","0","3.0","0","80","88","84","23","71","209"
"306","0","9.5","8","83","90","87","40","165","313"
"307","0","7.67","6.86","63","72","68","35","89","154"
"308","0","7.0","2","55","55","55","10","38","280"
"309","0","8.0","7","55","65","60","40","100","150"
"310","1","8.0","6.33","0","0","0","0","0","0"
"311","0","7.0","8","0","0","0","0","0","0"
"312","0","4.9","6.78","76","94","85","50","144","188"
"313","1","9.5","7","0","0","0","0","0","0"
"314","1","8.0","7","0","0","0","0","0","0"
"315","0","6.0","6","59","62","60","63","130","106"
"316","0","8.5","6.5","55","61","58","25","123","392"
"317","1","9.0","9","0","0","0","0","0","0"
"318","0","8.25","6.5","37","80","59","25","110","340"
"319","0","9.0","7","65","75","70","25","100","300"
"320","0","9.0","8","49","49","49","20","120","500"
"321","0","0.0","9","58","68","63","30","160","433"
"322","0","7.0","4","58","72","65","70","80","14"
"323","0","0.0","1.5","101","120","110","50","180","260"
"324","0","8.0","5.25","58","66","62","42","130","210"
"325","1","10.0","4","0","0","0","0","0","0"
"326","0","8.0","8","56","64","60","0","0","0"
"327","0","6.0","7","67","73","70","40","160","300"
"328","0","0.0","0","0","0","0","0","0","0"
"329","0","8.75","7","61","67","64","38","97","155"
"330","0","9.0","8","65","73","69","27","83","207"
"331","0","9.0","8.67","67","72","70","28","150","436"
"332","0","7.0","4","55","65","60","35","50","43"
"333","0","7.67","4","70","84","77","40","150","275"
"334","0","10.0","0","0","0","0","0","0","0"
"335","0","8.5","9","58","68","63","35","160","357"
"336","0","9.0","8","70","70","70","30","150","400"
"337","0","8.25","6","61","66","64","30","105","250"
"338","0","5.33","7.25","66","79","73","53","153","189"
"339","0","9.0","9","52","60","56","0","0","0"
"340","1","9.0","7.5","0","0","0","0","0","0"
"341","1","6.86","6.14","0","0","0","0","0","0"
"342","0","7.5","8","68","78","73","15","76","407"
"343","0","9.0","5","60","70","65","20","80","300"
"344","0","8.0","8","51","61","56","76","105","38"
"345","0","9.0","0","0","0","0","0","0","0"
"346","0","5.0","5","80","100","90","50","110","120"
"347","1","8.0","8","0","0","0","0","0","0"
"348","0","8.8","8.2","74","86","80","29","125","331"
"349","0","7.67","5","60","66","63","65","109","68"
"350","0","9.0","9","0","0","0","0","0","0"
"351","0","9.0","7","65","75","70","30","100","233"
"352","0","8.67","9","59","67","63","23","71","209"
"353","1","7.0","9","0","0","0","0","0","0"
"354","0","8.67","8.5","68","76","72","17","74","335"
"355","0","8.0","8","60","74","67","43","100","133"
"356","0","7.58","7.23","61","69","65","34","94","176"
"357","1","5.67","8","0","0","0","0","0","0"
"358","0","8.0","8","56","64","60","30","80","167"
"359","0","8.0","8","62","68","65","28","90","221"
"360","0","7.6","6.17","58","67","62","36","84","133"
"361","0","10.0","10","67","87","77","0","0","0"
"362","0","7.0","5","50","60","55","25","40","60"
"363","0","7.0","4.67","59","71","65","30","45","50"
"364","0","9.33","8.67","55","61","58","45","103","129"
"365","0","9.5","9","60","65","62","50","150","200"
"366","0","0.0","10","70","70","70","0","0","0"
"367","0","8.0","8","53","59","56","50","150","200"
"368","0","6.0","4","68","72","70","5","16","220"
"369","1","8.0","5","0","0","0","0","0","0"
"370","0","10.0","0","0","0","0","0","0","0"
"371","1","9.0","9","0","0","0","0","0","0"
"372","0","3.0","5.33","61","69","65","30","107","257"
"373","1","7.5","6.5","0","0","0","0","0","0"
"374","0","10.0","0","0","0","0","0","0","0"
"375","0","8.0","6.8","54","60","57","33","95","188"
"376","1","0.0","8","0","0","0","0","0","0"
"377","0","8.0","7","63","77","70","30","70","133"
"378","1","7.0","8","0","0","0","0","0","0"
"379","1","0.0","5","0","0","0","0","0","0"
"380","0","8.5","8","54","62","58","30","110","267"
"381","1","7.0","0","0","0","0","0","0","0"
"382","0","8.0","8.5","53","63","58","35","100","186"
"383","1","10.0","10","0","0","0","0","0","0"
"384","0","9.0","9","55","65","60","0","0","0"
"385","0","8.0","5.67","40","81","60","30","105","250"
"386","0","0.0","6","72","72","72","50","120","140"
"387","0","0.0","9","60","66","63","0","0","0"
"388","0","7.5","6.5","40","50","45","30","90","200"
"389","0","9.0","9","52","58","55","20","80","300"
"390","0","6.5","8","55","65","60","23","90","291"
"391","1","8.0","8","0","0","0","0","0","0"
"392","0","8.0","8","57","61","59","30","100","233"
"393","1","8.5","8","0","0","0","0","0","0"
"394","0","8.0","5","90","100","95","15","60","300"
"395","0","0.0","8","90","110","100","40","110","175"
"396","0","5.0","4","56","70","63","30","70","133"
"397","1","9.0","7.5","0","0","0","0","0","0"
"398","0","10.0","8.5","69","77","73","18","73","306"
"399","1","10.0","10","0","0","0","0","0","0"
"400","0","9.5","7","61","65","63","50","95","90"
"401","0","8.33","6.5","66","76","71","9","58","544"
"402","1","7.0","0","0","0","0","0","0","0"
"403","0","7.0","8","66","74","70","50","150","200"
"404","0","1.0","2","0","0","0","0","0","0"
"405","0","5.0","8","63","77","70","0","0","0"
"406","0","7.0","5.5","63","63","63","80","200","150"
"407","0","3.0","1","60","66","63","25","100","300"
"408","0","10.0","9","55","65","60","0","0","0"
"409","1","8.0","1","0","0","0","0","0","0"
"410","0","0.0","0","0","0","0","0","0","0"
"411","0","8.0","7","75","75","75","45","90","100"
